"number"	"standard_number"	"standard_code"	"professional_area"	"professional_type"	"standard_name"	"order_Mintrud"
"1"	"976"	"16.114"	"Строительство и жилищно-коммунальное хозяйство"	"Организация проектного производства в строительстве"	"Организатор проектного производства в строительстве"	"183н от 15.02.2017"	""	""
"2"	"969"	"16.110"	"Строительство и жилищно-коммунальное хозяйство"	"Подготовка проекта обеспечения соблюдения требований энергетической эффективности зданий, строений и сооружений"	"Специалист по подготовке проекта обеспечения соблюдения требований энергетической эффективности зданий, строений и сооружений"	"217н от 01.03.2017"	""	""
"3"	"985"	"40.172"	"Сквозные виды профессиональной деятельности"	"Проектирование сооружений водоподготовки и водозаборных сооружений"	"Специалист в области проектирования сооружений водоподготовки и водозаборных сооружений"	"177н от 15.02.2017"	""	""
"4"	"998"	"40.176"	"Сквозные виды профессиональной деятельности"	"Проектирование систем холодоснабжения"	"Специалист в области проектирования систем холодоснабжения"	"221н от 01.03.2017"	""	""
"5"	"994"	"16.123"	"Строительство и жилищно-коммунальное хозяйство"	"Монтаж оборудования насосных станций и станций водоподготовки в системах водоснабжения"	"Монтажник оборудования насосных станций и станций водоподготовки в системах водоснабжения"	"225н от 01.03.2017"	""	""
"6"	"1000"	"16.125"	"Строительство и жилищно-коммунальное хозяйство"	"Монтаж оборудования насосных станций и сооружений очистки стоков в системах водоотведения"	"Монтажник оборудования насосных станций и сооружений очистки стоков в системах водоотведения"	"212н от 01.03.2017"	""	""
"7"	"996"	"16.124"	"Строительство и жилищно-коммунальное хозяйство"	"Выполнение механизированных работ с применением машин для забивки и погружения свай"	"Машинист машин для забивки и погружения свай"	"208н от 01.03.2017"	""	""
"8"	"269"	"32.001"	"Авиастроение"	"Разработка комплексов бортового оборудования (КБО) авиационных летательных аппаратов"	"Специалист по разработке комплексов бортового оборудования авиационных летательных аппаратов"	"1042н от 15.12.2014"	""	""
"9"	"270"	"32.002"	"Авиастроение"	"Проектирование и конструирование авиационной техники"	"Специалист по проектированию и конструированию авиационной техники"	"985н от 08.12.2014"	""	""
"10"	"271"	"32.003"	"Авиастроение"	"Проектирование и конструирование механических конструкций, систем и агрегатов летательных аппаратов (ЛА)"	"Специалист по проектированию и конструированию механических конструкций, систем и агрегатов летательных аппаратов"	"987н от 08.12.2014"	""	""
"11"	"272"	"32.004"	"Авиастроение"	"Проведение прочностных расчетов авиационных конструкций"	"Специалист по прочностным расчетам авиационных конструкций"	"1011н от 11.12.2014"	""	""
"12"	"701"	"32.005"	"Авиастроение"	"Управление программами в организациях авиастроительной отрасли"	"Специалист по управлению авиационными программами"	"1045н от 21.12.2015"	""	""
"13"	"703"	"32.006"	"Авиастроение"	"Организация процессов послепродажного обслуживания авиационной техники и сервисной поддержки потребителей и управление ими"	"Специалист по послепродажному обслуживанию авиационной техники"	"1052н от 21.12.2015"	""	""
"14"	"704"	"32.007"	"Авиастроение"	"Управление цепью поставок в авиастроении"	"Специалист по управлению цепью поставок в авиастроении"	"1055н от 21.12.2015"	""	""
"15"	"802"	"32.008"	"Авиастроение"	"Управление системами качества в авиастроении"	"Специалист по управлению качеством в авиастроении"	"1112н от 22.12.2015"	""	""
"16"	"200"	"31.001"	"Автомобилестроение"	"Управление и развитие производственной системы при производстве транспортных средств и оборудования"	"Специалист промышленного инжиниринга в автомобилестроении"	"712н от 12.10.2014"	""	""
