code,title,parent_code,group_level,source_url,source_status,source_file,candidate_type
1412,Руководители ресторанов (вагонов-ресторанов),141,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,occupation
142,Руководители (управляющие) в розничной и оптовой торговле,14,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,occupation
1420,Руководители (управляющие) в розничной и оптовой торговле,142,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,occupation
143,Руководители в других сферах обслуживания,14,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,occupation
1431,Руководители культурных центров и других мест отдыха,143,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,occupation
1432,Руководители организаций физической культуры и спорта,143,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,occupation
1439,Руководители иных сфер обслуживания, не входящие в другие группы,143,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,occupation
21,Специалисты в области науки и техники,,major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,occupation
211,Физики, химики и специалисты родственных занятий,21,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2111,Физики и астрономы,211,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2112,Метеорологи,211,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2113,Химики,211,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2114,Геологи и геофизики,211,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
212,Математики (включая актуариев) и статистики,21,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2121,Математики (включая актуариев),212,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2122,Статистики,212,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
213,Специалисты в области наук о жизни,21,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2131,Биологи, ботаники, зоологи и специалисты родственных занятий,213,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2132,Специалисты в области сельского, лесного и рыбного хозяйства,213,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2133,Специалисты в области защиты окружающей среды,213,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
214,Специалисты в области техники, исключая электротехников,21,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,occupation
2141,Инженеры в промышленности и на производстве,214,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2142,Инженеры по гражданскому строительству,214,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2143,Инженеры по охране окружающей среды,214,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2144,Инженеры-механики,214,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2145,Инженеры-химики,214,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2146,Горные инженеры, металлурги и специалисты родственных занятий,214,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2149,Специалисты в области техники, не входящие в другие группы,214,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,occupation
215,Инженеры-электротехники,21,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,occupation
2151,Инженеры-электрики,215,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,occupation
2152,Инженеры-электроники,215,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2153,Инженеры по телекоммуникациям,215,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
216,Архитекторы, проектировщики, топографы и дизайнеры,21,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2161,Архитекторы зданий и сооружений,216,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2162,Ландшафтные архитекторы,216,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2163,Дизайнеры товаров и одежды,216,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2164,Проектировщики-градостроители и проектировщики транспортных узлов,216,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,occupation
2165,Геодезисты, картографы и топографы,216,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2166,Графические и мультимедийные дизайнеры,216,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
22,Специалисты в области здравоохранения,,major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
221,Врачи,22,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2211,Врачи общей практики,221,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2212,Врачи-специалисты,221,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
222,Специалисты по медицинскому уходу и акушерству,22,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,occupation
2221,Специалисты по медицинскому уходу,222,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,occupation
2222,Специалисты по акушерству,222,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
223,Высококвалифицированные целители и практики альтернативной и народной медицины,22,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2230,Высококвалифицированные целители и практики альтернативной и народной медицины,223,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
224,Врачи скорой медицинской помощи и парамедики,22,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2240,Врачи скорой медицинской помощи и парамедики,224,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
225,Ветеринарные врачи,22,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2250,Ветеринарные врачи,225,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
226,Другие специалисты в области здравоохранения,22,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2261,Стоматологи,226,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2262,Провизоры,226,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2263,Специалисты в области медицинских аспектов охраны труда и окружающей среды,226,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2264,Физиотерапевты,226,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2265,Диетологи и специалисты по рациональному питанию,226,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2266,Аудиологи и специалисты по развитию и восстановлению речи,226,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2267,Офтальмологи-оптики и оптометристы (за исключением врачей-офтальмологов),226,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2269,Специалисты в области здравоохранения, не входящие в другие группы,226,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
23,Специалисты в области образования,,major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
231,Профессорско-преподавательский персонал университетов и других организаций высшего образования,23,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
